Month,Soybean Oil Price (US Dollars per Metric Ton),Coconut Oil Price (US Dollars per Metric Ton),"Olive Oil, extra virgin Price (US Dollars per Metric Ton)",Sunflower oil Price (US Dollars per Metric Ton),Rapeseed Oil Price (US Dollars per Metric Ton),Crude Oil (petroleum) Price (US Dollars per Barrel),Exchange Rate,Palm oil Price (US Dollars per Metric Ton)
8-Mar,1476,1471,4774.31,1863,1519,101.84,3.185519,1249
8-Apr,1425,1443,4643.6,1838,1469,108.76,3.1639,1174
8-May,1436,1502,4523.49,1962,1510,122.63,3.214187,1208
8-Jun,1537,1551,4260.21,2045,1577,131.52,3.257036,1213
8-Jul,1511,1436,4323.35,1692,1540,132.83,3.251572,1128
8-Aug,1322,1193,4095.05,1319,1355,114.57,3.324558,885
8-Sep,1226,1110,3914.53,1176,1238,99.66,3.435059,771
8-Oct,928,856,3660.85,950,1053,72.69,3.51495,545
8-Nov,824,719,3307.33,835,991,53.97,3.584967,488
8-Dec,738,740,3355.21,759,836,41.34,3.551991,503
9-Jan,789.25,734,3288.71,817,817,43.86,3.564764,562
9-Feb,748,673,3168.83,805,760,41.84,3.626789,572
9-Mar,727,625,3059.75,757,709,46.65,3.673241,598
9-Apr,801,747,3087.67,843,807,50.28,3.607681,702
9-May,892,842.5,3151.85,941,933,58.15,3.518366,801
9-Jun,896,747,3433.52,907,920,69.15,3.519411,726
9-Jul,836,685,3528.36,804,845,64.67,3.550625,639
9-Aug,886,747,3710.67,820,887,71.63,3.519282,723
9-Sep,846,701,3947.33,809,857,68.35,3.494753,674
9-Oct,897,706,3930.53,846,896,74.08,3.406742,680
9-Nov,931,729,3954.23,921,928,77.55,3.389497,725
9-Dec,935,768,3850.54,986,944,74.88,3.413579,792
10-Jan,923,784,3722.44,968,916,77.12,3.382744,793
10-Feb,914,798,3484.17,948,893,74.76,3.415543,798
10-Mar,915,921,3349.5,949,897,79.3,3.325742,832
10-Apr,902,940,3292.57,924,909,84.18,3.209673,830
10-May,865,932,3011.23,910,864,75.62,3.250229,811
10-Jun,859,993,2925.8,889,880,74.73,3.265563,798
10-Jul,907,1031,2934.73,937,946,74.58,3.205445,807
10-Aug,1002.25,1170,3087.55,1074,1013,75.83,3.155165,905
10-Sep,1042,1275,3068.01,1114,1037,76.12,3.10763,912
10-Oct,1157,1412,3093.28,1284,1156,81.72,3.098997,987
10-Nov,1247,1512,3081.94,1441,1249,84.53,3.113067,1109
10-Dec,1322,1715,3003.96,1454,1396,90.01,3.128387,1228
11-Jan,1374,2038,2989.8,1492,1447,92.69,3.061542,1281
11-Feb,1365,2256,3054.1,1456,1402,97.91,3.046057,1292
11-Mar,1307,1925,3098.5,1389,1414,108.65,3.036824,1180
11-Apr,1315,2089,3226.28,1405,1450,116.24,3.01373,1149
11-May,1294,2097,3164.79,1411,1412,108.07,3.01261,1159
11-Jun,1324,1803,3097.34,1461,1410,105.85,3.029547,1133
11-Jul,1337,1662,3072,1433,1391,107.92,2.994297,1089
11-Aug,1330,1454,3118.7,1327,1363,100.49,2.986784,1083
11-Sep,1305,1305,3013.48,1299,1315,100.82,3.068068,1065
11-Oct,1220,1208,3013,1212,1275,99.85,3.143822,994
11-Nov,1217,1479,3031.8,1248,1290,105.41,3.150842,1053
11-Dec,1204,1445,2867.08,1190,1252,104.23,3.159369,1027
12-Jan,1218,1451,2760.97,1208,1257,107.07,3.120126,1061
12-Feb,1255,1411,2836.17,1249,1295,112.69,3.023945,1106
12-Mar,1287,1338,2824.57,1266,1292,117.79,3.041495,1153
12-Apr,1310,1348,2834.1,1324,1305,113.67,3.060872,1181
12-May,1218,1155,2722.67,1275,1235,104.09,3.096981,1085
12-Jun,1180,1058,2697.67,1192,1185,90.73,3.17609,999
12-Jul,1239,1070,2671.84,1258,1212,96.75,3.168077,1015
12-Aug,1252,1001,2913.43,1300,1232,105.27,3.1157,997
12-Sep,1283,967,3571.69,1331,1271,106.28,3.078125,967
12-Oct,1175,898,3632.23,1245,1217,103.41,3.053623,839
12-Nov,1135,848,3448.23,1237,1188,101.17,3.058258,813
12-Dec,1163,785,3318.85,1269,1190,101.19,3.0536,776
13-Jan,1190,829,3957.6,1269,1214,105.1,3.035002,841
13-Feb,1175,861,4229.45,1275,1225,107.64,3.099259,863
13-Mar,1116,820,4094.76,1221,1162,102.52,3.107255,854
13-Apr,1095,793,4005.37,1201,1136,98.85,3.049568,842
13-May,1073,828,3847.06,1227,1116,99.37,3.018873,849
13-Jun,1041,895,3955.85,1228,1078,99.74,3.139392,860
13-Jul,995,861,3895.24,1178,1012,105.26,3.190213,833
13-Aug,999,894,3850.83,959,997,108.16,3.27566,829
13-Sep,1024,982,3827.17,962,994,108.76,3.253113,820
13-Oct,987,985,3737.97,988,1011,105.43,3.177121,859
13-Nov,996,1270,3703.16,997.5,1025,102.63,3.19568,920.75
13-Dec,989,1269,3628.63,982,1012,105.48,3.251985,912
14-Jan,943,1270,3601.01,920,953,102.1,3.301998,865
14-Feb,985,1365,3541.05,945,976,104.83,3.311877,908
14-Mar,1002,1394,3586.63,964,1019,104.04,3.28011,961
14-Apr,999,1356,3565.62,941,1018,104.87,3.255512,911
14-May,965.25,1403.75,3553.72,943.75,954,105.71,3.229639,893.25
14-Jun,936,1402,3625.83,928,922,108.37,3.217813,857
14-Jul,888,1260,3820.55,887,875,105.23,3.183023,841
14-Aug,857,1172,3963.79,828,853,100.05,3.178832,766
